"hour","TDR_10bhs_vwc","TDR_30bhs_vwc","TDR_50bhs_vwc","TDR_10bhs_t","TDR_30bhs_t","TDR_50bhs_t"
2025-12-29 20:00:00,34.6833333333333,38.7583333333333,41.725,1.89166666666667,3.2,3.7
2025-12-29 21:00:00,34.65,38.8416666666667,41.7333333333333,1.9,3.2,3.7
2025-12-29 22:00:00,34.6833333333333,38.775,41.7666666666667,1.9,3.2,3.7
2025-12-29 23:00:00,34.7083333333333,38.8833333333333,41.8083333333333,1.9,3.2,3.7
2025-12-30,34.6833333333333,38.8,41.8,1.9,3.2,3.7
2025-12-30 01:00:00,34.725,38.8833333333333,41.8333333333333,1.9,3.2,3.7
2025-12-30 02:00:00,34.7666666666667,38.85,41.8583333333333,1.9,3.2,3.7
2025-12-30 03:00:00,34.7666666666667,38.9333333333333,41.8416666666667,1.9,3.2,3.7
2025-12-30 04:00:00,34.6666666666667,38.9916666666667,41.85,1.9,3.2,3.7
2025-12-30 05:00:00,34.725,38.8166666666667,41.85,1.9,3.2,3.69166666666667
2025-12-30 06:00:00,34.7,38.9333333333333,41.8666666666667,1.9,3.2,3.7
2025-12-30 07:00:00,34.6583333333333,38.9333333333333,41.8833333333333,1.9,3.2,3.7
2025-12-30 08:00:00,34.675,38.8833333333333,41.9083333333333,1.9,3.2,3.7
2025-12-30 09:00:00,34.7083333333333,39.0083333333333,41.9,1.9,3.2,3.7
2025-12-30 10:00:00,34.725,38.925,41.9,1.9,3.2,3.7
2025-12-30 11:00:00,34.75,38.975,41.9,1.9,3.2,3.7
2025-12-30 12:00:00,34.75,38.975,41.925,1.9,3.2,3.7
2025-12-30 13:00:00,34.725,38.9666666666667,41.9083333333333,1.9,3.2,3.7
2025-12-30 14:00:00,34.75,38.95,41.9333333333333,1.9,3.2,3.7
2025-12-30 15:00:00,34.7666666666667,38.9666666666667,41.9,1.9,3.2,3.7
2025-12-30 16:00:00,34.625,38.9833333333333,41.9,1.9,3.19166666666667,3.7
2025-12-30 17:00:00,34.7083333333333,38.9833333333333,41.9,1.9,3.2,3.7
2025-12-30 18:00:00,34.725,38.9166666666667,41.9083333333333,1.9,3.2,3.7
2025-12-30 19:00:00,34.725,38.9583333333333,41.9,1.9,3.19166666666667,3.68333333333333
2025-12-30 20:00:00,34.7333333333333,38.925,41.9166666666667,1.9,3.2,3.7
2025-12-30 21:00:00,34.7333333333333,38.9583333333333,41.9,1.9,3.2,3.7
2025-12-30 22:00:00,34.725,38.9583333333333,41.9,1.9,3.2,3.69166666666667
2025-12-30 23:00:00,34.7166666666667,38.9583333333333,41.8833333333333,1.9,3.2,3.69166666666667
